Factor Category,Source/Cause,Percentage
Physical,Pest infestation,47.50
Physical,Unskilled/careless laborer,30.50
Physical,Shattering of grains,9.20
Physical,Physiological process (wilting/softening),8.40
Physical,Late harvesting,4.40
Biological,Pest/disease infestation,53.00
Biological,Eaten by animals,47.00
Mechanical,Good grains are blown away and mixed with the chaffs,35.30
Mechanical,Grains are not threshed and mixed with spent stalks,22.20
Mechanical,Inefficient machines,15.70
Mechanical,Grains not threshed,15.00
Mechanical,Spillage in pavement due to cracks and crevice,11.80
Climatological,Harsh weather conditions,58.30
Climatological,Too much rain,25.80
Climatological,Plants lodged and panicles are submerged,15.90
