Province,Municipality,Number of Rice Farmers
Davao Oriental,Baganga,31
Davao Oriental,Boston,23
Davao Oriental,Cateel,213
Davao Oriental,Caraga,132
Davao Oriental,Banaybanay,327
Davao Oriental,Gov. Generoso,79
Davao Oriental,:Lupon,76
Davao del Sur,Bansalan,831
Davao del Sur,Hagonoy,1100
Davao del Sur,Padada,11
Davao del Sur,Sulop,17
Davao del Sur,Kiblawan,32
Davao del Sur,Malita,1
Davao del Sur,Magsasay,831
Davao del Sur,Matano,2048
Davao del Sur,Sta Cruz,1
Davao del Sur,Davao City,89
Davao del Sur,Digos City,88
Davao el Norte,Asuncion,3561
Davao el Norte,Carmen,1762
Davao el Norte,Panabo,17
Davao el Norte,Tagum,110
Davao el Norte,Braulio E. Dujali,1597
Davao el Norte,Kapalong,257
Davao el Norte,New Corella,2043
Davao el Norte,San Isidro,284
Davao el Norte,Sto. Tomas,2648
Davao el Norte,Talaingod,18
Davao de Oro,Compostela,463
Davao de Oro,Maco,1
Davao de Oro,Maragusan,106
Davao de Oro,Mawab,757
Davao de Oro,Monkayo,289
Davao de Oro,Laak,39
Davao de Oro,Montevista,245
Davao de Oro,Nabunturan,272
Davao de Oro,New Bataan,72
